ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
12930,2024-07-17,,,Nacional,Ciber-acciones o acciones colectivas en Internet,, Alianza por una Vida Digna y Frente Nacional de Lucha ,Grupos y/u organizaciones de ciudadanos y ciudadanas,,Efectuar un foro para discutir sobre el proyecto de Ley No. 23414 “Ley de Armonización del Sistema Eléctrico Nacional,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Población en general ,Población en general,No registrada/no existente,Participación conjunta,General,No registrado o no existente,"Las organizaciones Alianza por una Vida Digna y el FNL efectúan un foro para discutir sobre el proyecto de Ley No. 23414 “Ley de Armonización del Sistema Eléctrico Nacional”. En la actividad participan la diputada del FA, Sofía Guillen Pérez, un representante de la ACOTEL, Sergio Ortiz Pérez y un docente del TEC, Osvaldo Durán Castro. En el foro, se considera que dicho  proyecto debilitará el modelo eléctrico público y solidario de Costa Rica, y pone en juego la defensa del ambiente, pues abre la posibilidad de explotar petróleo, minerales y otras fuentes energéticas no renovables para el aprovechamiento eléctrico. ",SURCOS: ¿POR QUÉ EL PROYECTO DE “ARMONIZACIÓN DEL SECTOR ELÉCTRICO” QUE SE DISCUTE EN LA ASAMBLEA LEGISLATIVA ES NOCIVO PARA EL BIEN COMÚN? (2024-07-30)
12985,2024-08-24,San José,San José,Regional,Campañas informativas,,Frente Nacional de Lucha ,Grupos y/u organizaciones de ciudadanos y ciudadanas,,Conversar de las amenazas de conservación del refugio Gandoca Manzanillo ,Defensa del ambiente,Lucha contra megaproyectos y/o (neo)extractivismo,Gobierno de Rodrigo Chaves Robles ,Gobierno en general,No registrada/no existente,Participación conjunta,General,No registrado o no existente,"Los colectivos FNL y Alianza por una Vida Digna convocan a la ciudadanía a participar del Foro Crisis ambiental en refugio Gandoca-Manzanillo, que se llevará a cabo del miércoles 28 de agosto de manera virtual. En la actividad participarán el diputado del FA, Ariel Robles Barrantes, la presidenta de la COVIRENA del Caribe Sur Marta Castro Bolaños y la abogada y ecologista,  Silvia Matamoros Pacheco. En el foro se quiere conversar de las amenazas de conservación del refugio presentes en el gobierno de Rodrigo Chaves Robles. 
",SURCOS: FORO_ CRISIS AMBIENTAL EN REFUGIO GANDOCA-MANZANILLO  (2024-08-24)
