ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
12847,2024-07-04,,,Nacional,Declaración pública,Pronunciamiento,Bloque Verde,Grupos y/u organizaciones de ambientalistas,,Intervenir el INCOPESCA,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,Gobierno de Rodrigo Chaves Robles ,Gobierno en general,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"El Bloque Verde emite un comunicado para solicitar de manera urgente la intervención del INCOPESCA, tras conocerse la renuncia de su presidente ejecutivo Héiner Méndez Barrientos. Denuncian que durante la gestión de Méndez el desarrollo sostenible de la pesca y la acuicultura se quedó sin rumbo, entre otras razones porque el Plan Nacional de Desarrollo de la Pesca y la Acuicultura se encontraba vigente hasta el año pasado, pero hasta el momento Incopesca no lo ha actualizado; y que debido a la “inoperancia” de la institución, Costa Rica perdió financiamiento disponible para la urgente mejora de las pesquerías y la acuicultura, incluyendo los estudios necesarios para brindar las licencias a los pescadores artesanales y de pequeña escala. Finalmente, consideran que contrario a ayudar al sector pesquero, el gobierno de Rodrigo Chaves Robles pretende revivir la pesca de arrastre. 
",Semanario Universidad: ORGANIZACIONES ECOLOGISTAS SOLICITAN “DE MANERA URGENTE” INTERVENCIÓN DEL INCOPESCA (2024-07-04)
12895,2024-07-10,San José,,Nacional,Declaración pública,Denuncia,FECON,Grupos y/u organizaciones de ambientalistas,,Denunciar intenciones del MINAE y del MIDEPLAN de concentrar funciones,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,Ministerio de Ambiente y Energía de la administración Chaves Robles,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un comunicado, la FECON denuncia que el MIDEPLAN y el MINAE preparan un decreto ejecutivo para concentrar las funciones de la mayoría de las asesorías jurídicas de órganos desconcentrados en el ministro de Ambiente y Energía. Para la organización, esta parece ser una medida desesperada del gobierno de Rodrigo Chaves Robles, al ver varada la reforma legal bajo el proyecto de Ley No. 23.213, el cual busca el mismo objetivo. Además, la propuesta busca erosionar la participación social en los órganos colegiados, que verían vaciadas sus capacidades de dar opinión técnica oportuna ante cuestiones particulares, por ejemplo la prohibición de agroquímicos altamente peligrosos o contaminantes.
",SURCOS: REFORMA DE MINAE ENTORPECERÍA EVALUACIÓN DE PLAGUICIDAS ALTAMENTE PELIGROSOS Y CONTAMINANTES (2024-07-11)
12897,2024-07-10,San José,,Nacional,Declaración pública,Pronunciamiento,Comisión Vías y Vida Silvestre,Grupos y/u organizaciones de ambientalistas,,Declarar emergencia nacional por la plaga de la hormiga loca en el país,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,"Franz Tattenbach Capra, ministro de Ambiente y Energía de la administración Chaves Robles",Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"La Comisión Vías y Vida Silvestre envía una carta urgente al ministro de Ambiente y Energía, Franz Tattenbach Capra, a la ministra de Salud, Mary Munive Angermüller, y al ministro de Agricultura y Ganadería, Julio Carvajal Porras, con el objetivo de solicitar información actualizada sobre el estado y los avances de la comisión interministerial y de Una Sola Salud en relación con la plaga de la hormiga loca, la cual está causando graves impactos en la vida silvestre, animales domésticos, cultivos y otros sectores. La organización considera esencial declarar una Emergencia Nacional a raíz de esta plaga.
",SURCOS: UN LLAMADO URGENTE ANTE LA CRISIS DE LAS HORMIGAS LOCAS EN COSTA RICA (2024-07-14)
12914,2024-08-03,Limón,Talamanca,Nacional,Declaración pública,Denuncia,ATEC,Grupos y/u organizaciones de ambientalistas,,Denunciar amenazas de muerte en contra de sus integrantes,Fiscalización de la función pública y rendición de cuentas,"Lucha por la justicia, contra la impunidad y contra la criminalización de la protesta social",Gobierno de Rodrigo Chaves Robles,Gobierno en general,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"La ATEC emite un comunicado en el que denuncia que en este día recibieron amenazas de muerte a representantes de esa organización. Según denuncian, al parecer dos personas han contactado a un grupo de sicariato ofreciéndoles dinero en perjuicio de las vidas de miembros de ATEC. Ante esto, informan que están realizando las denuncias del caso ante las entidades correspondientes.
",SURCOS: ASOCIACIÓN TALAMANQUEÑA DE ECOTURISMO Y CONSERVACIÓN DENUNCIA AMENAZAS (2024-08-03)
12915,2024-08-03,San José,,Nacional,Declaración pública,Denuncia,Bloque Verde,Grupos y/u organizaciones de ambientalistas,,Denunciar amenazas de muerte en contra de integrantes de ATEC,Fiscalización de la función pública y rendición de cuentas,"Lucha por la justicia, contra la impunidad y contra la criminalización de la protesta social",Gobierno de Rodrigo Chaves Robles,Gobierno en general,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un comunicado, el Bloque Verde se solidariza con la ATEC, organización que en este mismo día denunció haber recibido amenazas de muerte en contra de sus integrantes, y denuncia que es lamentable que se produzcan amenazas e intimidaciones que buscan sembrar miedo en un momento en el que las organizaciones caribeñas están pidiendo una moratoria sobre el otorgamiento de permisos para tala, extracción, aprovechamiento y construcción, así como cualquier tipo de destrucción o cambio de uso del suelo en humedales, bosques y otros ecosistemas, hasta que estos espacios sean adecuadamente delimitados, zonificados y ordenados. Estas amenazas se producen en un contexto en el que ha surgido un movimiento en la zona que denuncia la situación actual y aboga por la recuperación del Refugio Nacional de Vida Silvestre Gandoca-Manzanillo, así como por la protección de los bosques costeros, los humedales y los arrecifes del litoral caribeño.
",SURCOS: ORGANIZACIÓN DE ECOTURISMO Y CONSERVACIÓN TALAMANQUEÑA RECIBE AMENAZAS DE MUERTE (2024-08-03)
12924,2024-08-06,San José,San José,Nacional,Concentración,,Vecinos/as de Gandoca-Manzanillo,Grupos y/u organizaciones de vecinos y vecinas,,Denunciar la complicidad del ministro de Ambiente y Energía con la tala ilegal de árboles dentro del Refugio de Vida Silvestre Gandoca-Manzanillo,Fiscalización de la función pública y rendición de cuentas,Solicitud de investigación,Asamblea Legislativa de la administración Chaves Robles,Poder Legislativo,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Un grupo de vecinos y vecinas de la comunidad de Gandoca, de Manzanillo,  se manifiestan en las barras de Asamblea Legislativa durante la comparecencia del ministro de Ambiente y Energía, Franz Tattenbach Capra en la Comisión de Ambiente, a raíz de las denuncias por tala ilegal de árboles dentro del Refugio de Vida Silvestre Gandoca-Manzanillo. Las y los manifestantes portan carteles con consignas como “Sin bosques no hay jaguar”, y “A les activistas de Limón les quieren matar”. El ministro es cuestionado no solo por permitir la tala ilegal, sino por participar en una fiesta organizada por la Casa Presidencial en una propiedad de la familia del empresario Allan Pacheco Dent, responsable de realizar la tala. 
","La Extra: MINISTRO ENGAVETÓ DECRETO QUE PROTEGÍA ZONAS EN MANZANILLO (2024-08-07), La Nación: DIPUTADOS CUESTIONAN A TATTENBACH TALA EN GANDOCA-MANZANILLO; ÉL DICE QUE SE APEGÓ A LEGALIDAD (2024-08-06), CR Hoy: “SE BUSCA”, ASÍ PROTESTARON VECINOS DE GANDOCA DURANTE COMPARECENCIA DE MINISTRO (2024-08-06), CR Hoy: MINISTRO NO PUDO RESPONDER POR QUÉ NO HA CUMPLIDO CON ORDEN DE RECUPERAR TERRENOS EN MANZANILLO (2024-08-06), CR Hoy: MINISTRO CONFIRMA QUE ESTUVO EN FIESTA EN FINCA DE FAMILIAR DE ALLAN PACHECO  (2024-08-06)"
12985,2024-08-24,San José,San José,Regional,Campañas informativas,,Frente Nacional de Lucha ,Grupos y/u organizaciones de ciudadanos y ciudadanas,,Conversar de las amenazas de conservación del refugio Gandoca Manzanillo ,Defensa del ambiente,Lucha contra megaproyectos y/o (neo)extractivismo,Gobierno de Rodrigo Chaves Robles ,Gobierno en general,No registrada/no existente,Participación conjunta,General,No registrado o no existente,"Los colectivos FNL y Alianza por una Vida Digna convocan a la ciudadanía a participar del Foro Crisis ambiental en refugio Gandoca-Manzanillo, que se llevará a cabo del miércoles 28 de agosto de manera virtual. En la actividad participarán el diputado del FA, Ariel Robles Barrantes, la presidenta de la COVIRENA del Caribe Sur Marta Castro Bolaños y la abogada y ecologista,  Silvia Matamoros Pacheco. En el foro se quiere conversar de las amenazas de conservación del refugio presentes en el gobierno de Rodrigo Chaves Robles. 
",SURCOS: FORO_ CRISIS AMBIENTAL EN REFUGIO GANDOCA-MANZANILLO  (2024-08-24)
13062,2024-09-03,San José,,Regional,Declaración pública,Pronunciamiento,Bloque Verde,Grupos y/u organizaciones de ambientalistas,,Denunciar al MINSA por permitir presencia del fungicida Mancozeb en agua para consumo humano,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,Ministerio de Salud de la administración Chaves Robles,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un pronunciamiento, el Bloque Verde denuncia que el MINSA aumentó hasta 60 veces el límite máximo permitido de contaminación en agua para consumo humano, en un informe sobre el derrame del fungicida Mancozeb en una quebrada que llega al río Barranca. Esto ha expuesto a la población de la zona al consumo de este producto a través del agua, con el aval del MINSA y del AyA, que al margen de cualquier criterio técnico le han hecho creer a la población que esto no representa ningún peligro para su salud. Ante esto, la organización ecologista asegura que llevará el caso ante la Sala Constitucional. Por su parte, la ministra de Salud, Mary Munive Angermüller, niega que se haya alterado el nivel de tolerancia al fungicida Mancozeb en el agua de manera permanente, y que solo se consignó así de forma “temporal” únicamente para garantizar el acceso al agua a las y los habitantes de Esparza, Gran Chacarita, Espíritu Santo y El Roble en Puntarenas, mientras se atendía la emergencia causada por el derrame. Finalmente, asegura que las muestras recientes no indican la presencia del fungicida en el agua de la zona.
","SURCOS: LAS AUTORIDADES HAN SUMINISTRADO AGUA CON CONCENTRACIONES DE MANCOZEB HASTA 55 VECES SUPERIORES A LOS LÍMITES ESTABLECIDOS (2024-09-05), Semanario Universidad: RESULTADOS MUESTRAN QUE AGUA DE PUNTARENAS AÚN TENÍA EL FUNGICIDA MANCOZEB CUANDO SALUD AUTORIZÓ EL CONSUMO (2024-09-05), La Extra: SALUD RECHAZA PRESENCIA DE FUNGICIDA EN AGUA (2024-09-05), CR Hoy: ECOLOGISTAS DENUNCIAN QUE SALUD AUMENTÓ LÍMITES PERMITIDOS DE FUNGICIDA TRAS CONTAMINACIÓN EN BARRANCA (2024-09-03)"
13104,2024-09-24,Guanacaste,Liberia,Regional,Declaración pública,Pronunciamiento,Confraternidad Guanacasteca,Grupos y/u organizaciones de ciudadanos y ciudadanas,,"Denuncia a la ministra de la Presidencia, Laura Fernández Delgado, por no cumplir con las funciones relacionadas al nombramiento de las y los jueces del Tribunal Ambiental ",Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,"La ministra de la Presidencia, Laura Fernández Delgado, administración Chaves Robles",Jerarcas de instituciones públicas,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"A través de un comunicado, la Confraternidad Guanacasteca denuncia a la ministra de la Presidencia, Laura Fernández Delgado, por no cumplir con las funciones relacionadas al nombramiento de las y los jueces del TAA, que se encargan de analizar y castigar delitos ambientales. Según una carta emitida por Fernández Delgado, ella desconocía que le correspondía efectuar estos nombramientos, hecho que para la Confraternidad Guanacasteca demuestra la pérdida de recursos económicos y de tiempo que se da con el gobierno de Rodrigo Chaves Robles, así como un claro desinterés en temas medioambientales. 
",SURCOS: MINISTRA DE LA PRESIDENCIA LAURA FERNÁNDEZ CONTRA JUSTICIA PRONTA Y CUMPLIDA (2024-09-21)
